run_id,tag,round,client,epoch,epochs_total,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20251015-122621,controller_v2,4,2,3,20,0.001,0.35,5,1001,0.1596,97.03,1.9258,49.9
20251015-122621,controller_v2,4,2,4,20,0.001,0.35,5,1001,0.0879,98.74,1.9062,51.26
20251015-122621,controller_v2,4,2,5,20,0.001,0.35,5,1001,0.06,99.56,1.8322,52.98
20251015-122621,controller_v2,4,2,6,20,0.001,0.35,5,1001,0.035,99.56,1.8505,52.32
20251015-122621,controller_v2,4,3,1,20,0.001,0.35,5,1001,0.8715,77.91,1.3852,63.2
20251015-122621,controller_v2,4,3,2,20,0.001,0.35,5,1001,0.3533,91.48,1.875,52.06
20251015-122621,controller_v2,4,3,3,20,0.001,0.35,5,1001,0.1824,96.29,2.2747,45.88
20251015-122621,controller_v2,4,3,4,20,0.001,0.35,5,1001,0.1164,98.37,1.9641,50.74
20251015-122621,controller_v2,4,3,5,20,0.001,0.35,5,1001,0.0584,99.18,1.9105,51.68
20251015-122621,controller_v2,4,3,6,20,0.001,0.35,5,1001,0.0356,99.78,1.8428,52.86
20251015-122621,controller_v2,5,0,1,20,0.001,0.4,6,1001,0.7938,79.0,1.4404,61.4
20251015-122621,controller_v2,5,0,2,20,0.001,0.4,6,1001,0.2731,92.64,1.8644,53.7
20251015-122621,controller_v2,5,0,3,20,0.001,0.4,6,1001,0.1384,97.07,2.0141,50.9
20251015-122621,controller_v2,5,0,4,20,0.001,0.4,6,1001,0.0892,98.5,1.9844,49.98
20251015-122621,controller_v2,5,0,5,20,0.001,0.4,6,1001,0.0578,99.14,1.8473,53.0
20251015-122621,controller_v2,5,0,6,20,0.001,0.4,6,1001,0.0251,99.93,1.8982,52.84
20251015-122621,controller_v2,5,1,1,20,0.001,0.4,6,1001,0.8382,76.64,1.4968,60.76
20251015-122621,controller_v2,5,1,2,20,0.001,0.4,6,1001,0.2908,93.0,1.7041,55.6
20251015-122621,controller_v2,5,1,3,20,0.001,0.4,6,1001,0.1439,97.36,1.9781,52.42
20251015-122621,controller_v2,5,1,4,20,0.001,0.4,6,1001,0.0917,98.64,1.9039,53.14
20251015-122621,controller_v2,5,1,5,20,0.001,0.4,6,1001,0.0707,99.0,1.7855,54.48
20251015-122621,controller_v2,5,1,6,20,0.001,0.4,6,1001,0.0394,99.64,1.6816,56.8
20251015-122621,controller_v2,5,2,1,20,0.001,0.4,6,1001,0.8861,75.5,1.4931,60.26
